wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?,note,removed EN
wn:07055103n,bn:00011854n,n,bolero,music written in the rhythm of the bolero dance,YES,,
wn:02867267n,bn:00011924n,n,bombardon,a large shawm; the bass member of the shawm family,YES,,
wn:02867267n,bn:00011924n,n,bombard,a large shawm; the bass member of the shawm family,YES,,
wn:02869249n,bn:00012018n,n,bones,a percussion instrument consisting of a pair of hollow pieces of wood or bone (usually held between the thumb and fingers) that are made to click together (as by Spanish dancers) in rhythm with the dance,YES,,
wn:02869249n,bn:00012018n,n,castanets,a percussion instrument consisting of a pair of hollow pieces of wood or bone (usually held between the thumb and fingers) that are made to click together (as by Spanish dancers) in rhythm with the dance,YES,,
wn:02869249n,bn:00012018n,n,clappers,a percussion instrument consisting of a pair of hollow pieces of wood or bone (usually held between the thumb and fingers) that are made to click together (as by Spanish dancers) in rhythm with the dance,YES,,
wn:02869249n,bn:00012018n,n,finger_cymbals,a percussion instrument consisting of a pair of hollow pieces of wood or bone (usually held between the thumb and fingers) that are made to click together (as by Spanish dancers) in rhythm with the dance,YES,,
wn:01897203v,bn:00083772v,v,boogie,dance to boogie music,YES,,
wn:07063249n,bn:00012057n,n,boogie,an instrumental version of the blues (especially for piano),YES,,
wn:07063249n,bn:00012057n,n,boogie-woogie,an instrumental version of the blues (especially for piano),YES,,
wn:07063101n,bn:00009460n,n,bop,an early form of modern jazz (originating around 1940),YES,,
wn:07063101n,bn:00009460n,n,bebop,an early form of modern jazz (originating around 1940),YES,,
wn:00084371n,bn:00001495n,n,borrowing,the appropriation (of ideas or words etc) from another source,YES,,
wn:00084371n,bn:00001495n,n,adoption,the appropriation (of ideas or words etc) from another source,YES,,
wn:08249336n,bn:00012794n,n,brass_band,a group of musicians playing only brass and percussion instruments,YES,,
wn:08217135n,bn:00012792n,n,brass_section,the section of a band or orchestra that plays brass instruments,YES,,
wn:08217135n,bn:00012792n,n,brass,the section of a band or orchestra that plays brass instruments,YES,,
wn:05637356n,bn:00012842n,n,bravura,brilliant and showy technical skill,YES,,
wn:01726039v,bn:00084197v,v,bugle,play on a bugle,YES,,
wn:09878179n,bn:00013716n,n,bugler,someone who plays a bugle,YES,,
wn:01759166v,bn:00084311v,v,busk,play music in a public place and solicit money for it,YES,,
wn:06863209n,bn:00014399n,n,C_clef,a movable clef that puts middle C on one of the lines of a staff,YES,,
wn:00520672n,bn:00014420n,n,cabaret,a series of acts at a night club,YES,,
wn:00520672n,bn:00014420n,n,floorshow,a series of acts at a night club,YES,,
wn:00520672n,bn:00014420n,n,floor_show,a series of acts at a night club,YES,,
