wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?
,bn:03361595n,,"music_and_politics, political_music, politics_in_music, music_in_politics, folk_music_and_politics, politics_and_music","The connection between music and politics, particularly political expression in song, has been seen in many cultures.","musica_e_politica, musica_politica, politica_nella_musica, musica_nella_politica, musica_folk_e_politica",YES
,bn:03887340n,,"music_of_eswatini, music_of_swaziland, swazi_music","The music of Eswatini is composed of both ethnic Swazi music and varieties of folk music as well as modern genres such as rock, pop and hip hop, which has been popular in Eswatini since headed by bands such as Vamoose.","musica_dell'eswatini, musica_dello_swaziland, musica_swazi",YES
,bn:03884798n,,"music_of_the_former_netherlands_antilles, curacao_music, music_of_curacao, music_of_bonaire_and_curaçao, music_of_the_netherlands_antilles, music_of_netherlands_antilles_and_aruba, music_of_bonaire, bonaire_music, music_of_bonaire_and_curacao, music_of_aruba, dutch_antillean_music, music_of_saba, music_of_sint_eustatius, music_of_the_dutch_antilles, music_of_aruba_and_the_netherlands_antilles, curaçao_music, music_of_aruba_and_the_dutch_antilles, music_of_sint_maarten, music_of_saint_eustatius","The music of the former Netherlands Antilles is a mixture of native, African and European elements, and is closely connected with trends from neighboring countries such as Venezuela and Colombia and islands such as Puerto Rico, Cuba, Santo Domingo, Haiti, Martinique, Trinidad, Dominica, and Guadeloupe.","musica_delle_ex_antille_olandesi, musica_curacao, musica_di_curacao, musica_di_bonaire_e_curacao, musica_delle_antille_olandesi, musica_delle_antille_olandesi_e_aruba, musica_di_bonaire, musica_bonaire, musica_di_aruba, musica_di_sint_maarten, musica_di_saint_eustatius",YES
,bn:03286664n,,music_of_georgia,"Georgia's musical history is diverse and substantial; the state's musicians include Southern rap groups such as Outkast and Goodie Mob, as well as a wide variety of rock, pop, blues, and country artists such as the late Ray Charles, Otis Redding, James Brown, and The Allman Brothers Band.",musica_della_georgia,YES
,bn:03366518n,,"music_of_rwanda, rwandan_music, rwandan_dance, rwanda_music","The music of Rwanda encompasses Rwandan traditions of folk music as well as contemporary East African Afrobeat and Congolese ndombolo, and performers of a wide variety of Western genres including hip-hop, R&B, gospel music and pop ballads.","musica_del_ruanda, musica_ruandese, ballo_ruandese",YES
,bn:03664260n,,"texas_country_music, texas_country",Texas Country Music is a rapidly growing subgenre of country music from Texas.,"musica_country_del_texas, texas_country",YES
,bn:03508849n,,korean_contemporary_christian_music,Korean Contemporary Christian music refers to Contemporary Christian music written or played in South Korea.,musica_coreana_cristiana_contemporanea,YES
,bn:15761742n,,"music_of_china, chinese_music, chinese_folk_music, chinese_folk, music_of_the_people's_republic_of_china, classical_chinese_music, history_of_chinese_music, chinese_classical_music, music_in_china, chinese_folk_song, chinese_folk_songs","Music of China refers to the music of the Chinese people, which may be the music of the Han Chinese as well as other ethnic minorities within mainland China.","musica_cinese, musica_della_cina, musica_folk_cinese, folk_cinese, musica_delle_persone_della_repubblica_cinese, musica_classica_cinese, storia_della_musica_cinese, musica_in_cina, canzone_folk_cinese, canzoni_folk_cinesi",YES
,bn:03352337n,,"bouyon_music, alternative_bouyon","Bouyon is a genre of Dominican music that originated in Dominica in the late 1980s mainly with the group ""WCK"", with names such as Derek ""Rah"" Peters on vocals, Cornell Phillips keys and vocals among others, while bands such as the ""Triple Kay"" are very popular with ""Carlyn XP"" being the undisputed MCs for having won numerous contests.","musica_bouyon, musica_bu-yon",YES
,bn:03487885n,,baganda_music,Baganda music is a music culture developed by the people of Uganda with many features that distinguish African music from other world music traditions.,musica_baganda,YES
,bn:03628576n,,"turkish_music, turkish_style","Turkish music, in the sense described here, is not the music of Turkey, but rather a musical style that was occasionally used by the European composers of the Classical music era.",musica_alla_turca,YES
,bn:03844954n,,"indigenous_music_of_australia, australian_aboriginal_music, indigenous_australian_music, australian_aborigine_music, kun-borrk, australian_folk_and_indigenous_music, australian_indigenous_music, gunborg, manikay, bunggul, aboriginal_music, kunborrk","Indigenous music of Australia comprises the music of the Aboriginal and Torres Strait Islander peoples of Australia, intersecting with their cultural and ceremonial observances, through the millennia of their individual and collective histories to the present day.","musica_aborigena_australiana, musica_indigena_australiana, musica_indigena_e_folk_australiana",YES
